project,ref_stat,ref_data,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soil_mass_cum,soc_cum,soil_mass,soc,esm_depth,actual_depth
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-2,2,esm1,-5.5,-10.4,1288.0122124,33.9956849363978,749.155756950002,17.7976342068345,5-10 cm,5.5-10.4 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-2,2,esm2,-5.64390378688025,-10.4191677778027,1295.1535669,34.1950015712529,754.885873766667,17.7196951657259,5-10 cm,5.6-10.4 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-3,3,esm1,-10.4,-29.8,4383.26360765998,99.7385630691245,3095.25139525998,65.7428781327267,10-30 cm,10.4-29.8 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-3,3,esm2,-10.4191677778027,-29.8597859066197,4392.41666656667,99.9788629968227,3097.26309966667,65.7838614255698,10-30 cm,10.4-29.9 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-4,4,esm1,-29.8,-59.6,9107.1865890800509,148.638377564982,4723.92298142007,48.899814495858,30-60 cm,29.8-59.6 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-4,4,esm2,-29.8597859066197,-59.6398523817377,9115.32344960175,149.728782960375,4722.90678303509,49.7499199635521,30-60 cm,29.9-59.6 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-1,1,esm1,0,-5.5,539.81237205,14.7643140932004,539.81237205,14.7643140932004,0-5 cm,0-5.5 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-1,1,esm2,0,-5.61125535020186,540.267693133333,14.8427354160568,540.267693133333,14.8427354160568,0-5 cm,0-5.6 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-2,2,esm1,-5.5,-10.6,1284.94660458,33.8563712086143,745.13423253,19.0920571154139,5-10 cm,5.5-10.6 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-2,2,esm2,-5.61125535020186,-10.6305204842265,1295.1535669,34.2675547952154,754.885873766667,19.4248193791586,5-10 cm,5.6-10.6 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-3,3,esm1,-10.6,-30.5,4378.69161340001,98.9811874725966,3093.74500882001,65.1248162639823,10-30 cm,10.6-30.5 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-3,3,esm2,-10.6305204842265,-30.5708083718614,4392.41666656667,99.6533004550157,3097.26309966667,65.3857456598003,10-30 cm,10.6-30.6 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-4,4,esm1,-30.5,-60.4,9114.25774064006,143.550519376275,4735.56612724005,44.5693319036783,30-60 cm,30.5-60.4 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-003,IL-115-SW-WDFLD-003-4,4,esm2,-30.5708083718614,-60.5833580984431,9115.32344960175,143.482925483861,4722.90678303509,43.829625028845,30-60 cm,30.6-60.6 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-1,1,esm1,0,-3.7,535.64378004,13.7735441599486,535.64378004,13.7735441599486,0-5 cm,0-3.7 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-1,1,esm2,0,-3.86952771168129,540.267693133333,13.6398508029409,540.267693133333,13.6398508029409,0-5 cm,0-3.9 cm
